resource_id,resource_type,subject,topic,learning_goal,vark_visual,vark_auditory,vark_reading,vark_kinesthetic,difficulty_level,effectiveness_rating,url,,description,duration_minutes,,has_visuals,has_audio,has_text,is_interactive,,,,user_ratings_average,completion_rate,,time_spent_average,,,,,,vark_dominant_style
EDU_000001,infographic,Mathematics,Number Theory,Develop practical skills and competencies,10,25,89,1,Beginner,3.8,https://www.visualcapitalist.com/category/science/,,Mathematics - Number Theory: Develop practical skills and competencies,60,,True,False,False,False,,,,4.93,0.8,,71.4,,,,,,vark_reading
EDU_000002,assessment,Mathematics,Geometry,Analyze and evaluate information critically,42,41,81,11,Advanced,4.3,https://www.prodigy.com/,,Mathematics - Geometry: Analyze and evaluate information critically,19,,False,False,False,False,,,,4.91,0.75,,21.7,,,,,,vark_reading
EDU_000003,case_study,Mathematics,Algebra,Develop practical skills and competencies,32,36,90,21,Advanced,4.1,https://www.khanacademy.org/math,,Mathematics - Algebra: Develop practical skills and competencies,81,,False,False,True,False,,,,4.66,0.75,,95.8,,,,,,vark_reading
EDU_000004,text,Mathematics,Combinatorics,Understand fundamental concepts and principles,6,40,32,84,Expert,3.6,https://www.geogebra.org/classic,,Mathematics - Combinatorics: Understand fundamental concepts and principles,90,,False,False,True,False,,,,3.52,0.93,,98.7,,,,,,vark_kinesthetic
EDU_000005,audio,Mathematics,Number Theory,Develop practical skills and competencies,19,47,69,26,Advanced,4.1,https://www.bbc.co.uk/programmes/b006qykl,,Mathematics - Number Theory: Develop practical skills and competencies,30,,False,True,False,False,,,,4.79,0.72,,31.3,,,,,,vark_reading
EDU_000006,infographic,Mathematics,Trigonometry,Develop practical skills and competencies,32,63,8,47,Expert,3.2,https://www.visualcapitalist.com/category/science/,,Mathematics - Trigonometry: Develop practical skills and competencies,67,,True,False,False,False,,,,4.21,0.7,,63,,,,,,vark_auditory
EDU_000007,research_paper,Mathematics,Linear Algebra,Build foundation for advanced study,67,1,37,34,Beginner,3.4,https://www.ams.org/journals/,,Mathematics - Linear Algebra: Build foundation for advanced study,30,,False,False,True,False,,,,4.37,0.7,,26,,,,,,vark_visual
EDU_000008,audio,Mathematics,Linear Algebra,Understand fundamental concepts and principles,54,25,11,83,Beginner,3.7,https://www.ted.com/talks,,Mathematics - Linear Algebra: Understand fundamental concepts and principles,38,,False,True,False,False,,,,4.69,0.9,,31.1,,,,,,vark_kinesthetic
EDU_000009,assessment,Mathematics,Trigonometry,Build foundation for advanced study,8,32,39,68,Intermediate,3.2,https://www.khanacademy.org/math/arithmetic/xa89c0ac1ab1b9de1:arithmetic-subject-mastery,,Mathematics - Trigonometry: Build foundation for advanced study,20,,False,False,False,False,,,,3.73,0.73,,17.2,,,,,,vark_kinesthetic
EDU_000010,webinar,Mathematics,Discrete Mathematics,Develop practical skills and competencies,84,8,30,41,Beginner,3.1,https://www.coursera.org/learn/learning-how-to-learn,,Mathematics - Discrete Mathematics: Develop practical skills and competencies,55,,False,True,False,False,,,,3.89,0.8,,45.2,,,,,,vark_visual
EDU_000011,interactive_simulation,Mathematics,Geometry,Build foundation for advanced study,45,34,64,38,Intermediate,4.5,https://www.khanacademy.org/math,,Mathematics - Geometry: Build foundation for advanced study,38,,False,False,False,True,,,,4.97,0.77,,33,,,,,,vark_reading
EDU_000012,project,Mathematics,Combinatorics,Connect concepts to everyday experiences,3,49,3,91,Advanced,3.4,https://www.khanacademy.org/math,,Mathematics - Combinatorics: Connect concepts to everyday experiences,89,,False,False,False,False,,,,4.54,0.94,,73.8,,,,,,vark_kinesthetic
EDU_000013,case_study,Mathematics,Geometry,Build foundation for advanced study,62,10,55,53,Expert,3.1,https://brilliant.org/courses/,,Mathematics - Geometry: Build foundation for advanced study,42,,False,False,True,False,,,,4.3,0.65,,46.5,,,,,,vark_visual
EDU_000014,audio,Mathematics,Linear Algebra,Prepare for standardized tests and assessments,51,10,40,98,Beginner,3.9,https://www.ted.com/talks,,Mathematics - Linear Algebra: Prepare for standardized tests and assessments,11,,False,True,False,False,,,,3.74,0.82,,9.1,,,,,,vark_kinesthetic
EDU_000015,animation,Mathematics,Combinatorics,Synthesize information from multiple sources,23,56,60,63,Advanced,4.1,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Mathematics - Combinatorics: Synthesize information from multiple sources,41,,True,False,False,False,,,,4.11,0.84,,41.4,,,,,,vark_kinesthetic
