
1,Learn Math,Visual,25,INTP
2,Learn Programming,Auditory,67,ESFJ
3,Learn Design,Kinesthetic,45,ENFP
4,Learn Math,Visual,82,ISTJ
5,Learn Programming,Reading/Writing,33,ENTP
6,Learn Languages,Auditory,78,ISFJ
7,Learn Design,Visual,56,INFP
8,Learn Math,Kinesthetic,91,ESTJ
9,Learn Programming,Visual,12,ENFJ
10,Learn Languages,Auditory,68,ISTP
11,Learn Design,Reading/Writing,39,ESFP
12,Learn Math,Visual,74,INTJ
13,Learn Programming,Kinesthetic,87,ISFP
14,Learn Languages,Auditory,23,ENTJ
15,Learn Design,Visual,61,INFJ
16,Learn Math,Reading/Writing,48,ESTP
17,Learn Programming,Visual,93,ISFJ
18,Learn Languages,Kinesthetic,17,ENTP
19,Learn Design,Auditory,84,ISTJ
20,Learn Math,Visual,52,ENFP
21,Learn Programming,Reading/Writing,36,ESFJ
22,Learn Languages,Kinesthetic,79,INTP
23,Learn Design,Visual,65,ESTJ
24,Learn Math,Auditory,28,ISFP
25,Learn Programming,Visual,71,ENFJ
26,Learn Languages,Reading/Writing,44,ISTP
27,Learn Design,Kinesthetic,88,ESFP
28,Learn Math,Visual,15,INTJ
29,Learn Programming,Auditory,62,INFJ
30,Learn Languages,Visual,95,ENTJ
31,Learn Design,Reading/Writing,31,ESTP
32,Learn Math,Kinesthetic,76,ISFJ
33,Learn Programming,Visual,49,ENTP
34,Learn Languages,Auditory,83,ISTJ
35,Learn Design,Visual,26,ENFP
36,Learn Math,Reading/Writing,69,ESFJ
37,Learn Programming,Kinesthetic,42,INTP
38,Learn Languages,Visual,86,ESTJ
39,Learn Design,Auditory,58,ISFP
40,Learn Math,Visual,34,ENFJ
41,Learn Programming,Reading/Writing,77,ISTP
42,Learn Languages,Kinesthetic,53,ESFP
43,Learn Design,Visual,90,INTJ
44,Learn Math,Auditory,21,INFJ
45,Learn Programming,Visual,64,ENTJ
46,Learn Languages,Reading/Writing,47,ESTP
47,Learn Design,Kinesthetic,81,ISFJ
48,Learn Math,Visual,37,ENTP
49,Learn Programming,Auditory,73,ISTJ
50,Learn Languages,Visual,59,ENFP
51,Learn Design,Reading/Writing,92,ESFJ
52,Learn Math,Kinesthetic,18,INTP
53,Learn Programming,Visual,66,ESTJ
54,Learn Languages,Auditory,43,ISFP
55,Learn Design,Visual,85,ENFJ
56,Learn Math,Reading/Writing,29,ISTP
57,Learn Programming,Kinesthetic,72,ESFP
58,Learn Languages,Visual,54,INTJ
59,Learn Design,Auditory,87,INFJ
60,Learn Math,Visual,41,ENTJ
61,Learn Programming,Reading/Writing,78,ESTP
62,Learn Languages,Kinesthetic,35,ISFJ
63,Learn Design,Visual,89,ENTP
64,Learn Math,Auditory,22,ISTJ
65,Learn Programming,Visual,63,ENFP
66,Learn Languages,Reading/Writing,46,ESFJ
67,Learn Design,Kinesthetic,80,INTP
68,Learn Math,Visual,38,ESTJ
69,Learn Programming,Auditory,74,ISFP
70,Learn Languages,Visual,51,ENFJ
71,Learn Design,Reading/Writing,94,ISTP
72,Learn Math,Kinesthetic,16,ESFP
73,Learn Programming,Visual,68,INTJ
74,Learn Languages,Auditory,45,INFJ
75,Learn Design,Visual,82,ENTJ
76,Learn Math,Reading/Writing,27,ESTP
77,Learn Programming,Kinesthetic,75,ISFJ
78,Learn Languages,Visual,56,ENTP
79,Learn Design,Auditory,91,ISTJ
80,Learn Math,Visual,33,ENFP
81,Learn Programming,Reading/Writing,79,ESFJ
82,Learn Languages,Kinesthetic,52,INTP
83,Learn Design,Visual,86,ESTJ
84,Learn Math,Auditory,24,ISFP
85,Learn Programming,Visual,70,ENFJ
86,Learn Languages,Reading/Writing,48,ISTP
87,Learn Design,Kinesthetic,93,ESFP
88,Learn Math,Visual,19,INTJ
89,Learn Programming,Auditory,65,INFJ
90,Learn Languages,Visual,40,ENTJ
91,Learn Design,Reading/Writing,84,ESTP
92,Learn Math,Kinesthetic,30,ISFJ
93,Learn Programming,Visual,77,ENTP
94,Learn Languages,Auditory,55,ISTJ
95,Learn Design,Visual,88,ENFP
96,Learn Math,Reading/Writing,32,ESFJ
97,Learn Programming,Kinesthetic,73,INTP
98,Learn Languages,Visual,60,ESTJ
99,Learn Design,Auditory,95,ISFP
100,Learn Math,Visual,44,ENFJ
